"APT","campaign","vulnerability","exploited_time","published_time","reserved_time","product","version","update","os"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","10.3.183.61","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","10.3.183.61","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","10.3.183.61","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","10.3.183.61","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","10.3.183.61","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","10.3.183.61","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","9.0.9","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","9.0.9","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","9.0.9","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","9.0.9","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","9.0.9","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","9.0.9","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.2.202.451","*","windows_rt_8.1"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.1.102.62","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.1.102.62","*","*"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","11.0.1.153","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.0.1.153","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.0.1.153","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.0.1.153","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","11.0.1.153","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","11.0.1.153","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","9.0.159","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","9.0.159","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","9.0.159","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","9.0.159","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","9.0.159","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","9.0.159","*","windows_8.1"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","10.3.183.75","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","10.3.183.75","*","*"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.2.202.406","*","windows_server_2012"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","9.0.246","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","9.0.246","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","9.0.246","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","9.0.246","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","9.0.246","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","9.0.246","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","29.0.0.140","*","windows"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.1.115.54","*","*"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.1.115.54","*","*"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","28.0.0.126","*","windows_10"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","28.0.0.126","*","windows_10"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","28.0.0.126","*","windows_10"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","20.0.0.286","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","20.0.0.286","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","20.0.0.286","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","20.0.0.286","*","windows_8.1"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","20.0.0.286","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","20.0.0.286","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","10.0.0.584","*","windows_rt_8.1"
"Threat Group-3390","298875","CVE-2015-5123","2015-08-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","11.3.300.271","*","windows"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","11.3.300.271","*","windows"
"Lazarus Group","298827","CVE-2015-8651","2017-01-01","2015-12-01","2015-12-01","flash_player","11.3.300.271","*","windows"
"Darkhotel","298819","CVE-2015-8651","2015-11-01","2015-12-01","2015-12-01","flash_player","11.3.300.271","*","windows"
"APT37","298781","CVE-2016-1019","2016-05-01","2016-04-01","2015-12-01","flash_player","11.3.300.271","*","windows"
"Lazarus Group","298827","CVE-2016-1019","2017-01-01","2016-04-01","2015-12-01","flash_player","11.3.300.271","*","windows"
"APT37","298780","CVE-2016-4171","2016-03-01","2016-06-01","2016-04-01","flash_player","11.3.300.271","*","windows"
"BlackOasis","298794","CVE-2016-0984","2015-06-01","2016-02-01","2015-12-01","flash_player","11.3.300.271","*","windows"
"APT28","298749","CVE-2015-3043","2015-04-01","2015-04-01","2015-04-01","flash_player","11.3.300.271","*","windows"
"APT37","298781","CVE-2014-8439","2016-05-01","2014-11-01","2014-10-01","flash_player","11.3.300.271","*","windows"
"BlackOasis","298794","CVE-2015-5119","2015-06-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"APT18","298739","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"APT3","298765","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"Threat Group-3390","298875","CVE-2015-5119","2015-08-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"APT37","298781","CVE-2015-5119","2016-05-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"Darkhotel","298814","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.3.300.271","*","windows"
"APT3","298764","CVE-2015-3113","2015-06-01","2015-06-01","2015-04-01","flash_player","11.3.300.271","*","windows"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.3.300.271","*","windows"
"APT37","298790","CVE-2015-3105","2015-07-01","2015-06-01","2015-04-01","flash_player","11.3.300.271","*","windows"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","11.3.300.271","*","windows"
"APT28","298756","CVE-2015-7645","2015-10-01","2015-10-01","2015-10-01","flash_player","11.3.300.271","*","windows"
"APT37","298788","CVE-2015-7645","2016-06-01","2015-10-01","2015-10-01","flash_player","11.3.300.271","*","windows"
"Darkhotel","298813","CVE-2014-0497","2014-02-01","2014-02-01","2013-12-01","flash_player","11.3.300.271","*","windows"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.3.300.271","*","windows"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.3.300.271","*","windows"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","11.7.700.260","*","windows_8.1"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","11.7.700.260","*","windows_8.1"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.7.700.260","*","windows_8.1"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.7.700.260","*","windows_8.1"
"APT28","298751","CVE-2016-7855","2016-10-01","2016-11-01","2016-09-01","flash_player","11.7.700.260","*","windows_8.1"
"Stealth Falcon","298864","CVE-2018-5002","2018-06-01","2018-07-01","2018-01-01","flash_player","11.7.700.260","*","windows_8.1"
"APT28","298749","CVE-2015-3043","2015-04-01","2015-04-01","2015-04-01","flash_player","11.2.202.359","*","windows"
"APT37","298790","CVE-2015-3105","2015-07-01","2015-06-01","2015-04-01","flash_player","11.2.202.359","*","windows"
"Taidoor","299217","CVE-2012-1535","2012-09-01","2012-08-01","2012-03-01","flash_player","11.2.202.359","*","windows"
"Darkhotel","298813","CVE-2014-0497","2014-02-01","2014-02-01","2013-12-01","flash_player","11.2.202.359","*","windows"
"APT28","298756","CVE-2015-7645","2015-10-01","2015-10-01","2015-10-01","flash_player","11.2.202.359","*","windows"
"APT37","298788","CVE-2015-7645","2016-06-01","2015-10-01","2015-10-01","flash_player","11.2.202.359","*","windows"
"BlackOasis","298794","CVE-2015-5119","2015-06-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"APT18","298739","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"APT3","298765","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"Threat Group-3390","298875","CVE-2015-5119","2015-08-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"APT37","298781","CVE-2015-5119","2016-05-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"Darkhotel","298814","CVE-2015-5119","2015-07-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"Lazarus Group","298831","CVE-2018-4878","2018-02-01","2018-02-01","2018-01-01","flash_player","11.2.202.359","*","windows"
"APT37","298785","CVE-2018-4878","2017-10-01","2018-02-01","2018-01-01","flash_player","11.2.202.359","*","windows"
"APT3","298764","CVE-2015-3113","2015-06-01","2015-06-01","2015-04-01","flash_player","11.2.202.359","*","windows"
"Threat Group-3390","298875","CVE-2015-5123","2015-08-01","2015-07-01","2015-06-01","flash_player","11.2.202.359","*","windows"
"Lazarus Group","298827","CVE-2015-8651","2017-01-01","2015-12-01","2015-12-01","flash_player","11.2.202.359","*","windows"
"Darkhotel","298819","CVE-2015-8651","2015-11-01","2015-12-01","2015-12-01","flash_player","11.2.202.359","*","windows"
"APT37","298780","CVE-2016-4171","2016-03-01","2016-06-01","2016-04-01","flash_player","11.2.202.359","*","windows"
"BlackOasis","298794","CVE-2016-0984","2015-06-01","2016-02-01","2015-12-01","flash_player","11.2.202.359","*","windows"
"BlackOasis","298795","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.2.202.359","*","windows"
"APT28","298755","CVE-2017-11292","2017-10-01","2017-10-01","2017-07-01","flash_player","11.2.202.359","*","windows"
