"APT","country","campaign","vulnerability","exploited_time","reserved_time","published_time"
"Suckfly","China","298868","Spearphishing Attachment","2014-04-01","",""
"Suckfly","China","298868","Drive-by Compromise","2014-04-01","",""
"APT17","China","298738","Spearphishing Attachment","2014-11-01","",""
"APT17","China","298733","Drive-by Compromise","2013-08-01","",""
"APT17","China","298734","Drive-by Compromise","2013-10-01","",""
"APT17","China","298735","Drive-by Compromise","2014-02-01","",""
"APT17","China","298736","Spearphishing Attachment","2017-08-01","",""
"APT17","China","298737","Spearphishing Attachment","2014-01-01","",""
"APT3","China","298766","Exploit Public-Facing Application","2018-09-01","",""
"APT3","China","298765","Spearphishing Link","2015-07-01","",""
"APT3","China","298764","Spearphishing Link","2015-06-01","",""
"APT3","China","298763","Spearphishing Link","2014-11-01","",""
"APT3","China","298762","Spearphishing Link","2014-04-01","",""
"APT3","China","298767","Exploit Public-Facing Application","2016-03-01","",""
"APT1","China","298900","Spearphishing Link","2014-02-01","",""
"APT1","China","298901","Spearphishing Attachment","2018-05-01","",""
"APT1","China","298899","Spearphishing Attachment","2011-10-01","",""
"PLATINUM","China","299200","Spearphishing Attachment","2016-02-01","",""
"PLATINUM","China","299200","Drive-by Compromise","2016-02-01","",""
"PLATINUM","China","299202","Unknown","2018-06-01","",""
"PLATINUM","China","299201","Spearphishing Attachment","2015-08-01","",""
"PLATINUM","China","299199","Spearphishing Attachment","2013-05-01","",""
"Ke3chang","China","299154","Spearphishing Attachment","2012-01-01","",""
"Ke3chang","China","299155","Spearphishing Attachment","2012-03-01","",""
"Ke3chang","China","299153","Drive-by Compromise","2012-08-01","",""
"Ke3chang","China","299152","Spearphishing Link","2010-10-01","",""
"Ke3chang","China","299156","External Remote Services","2016-04-01","",""
"DragonOK","China","299114","Spearphishing Attachment","2017-01-01","",""
"DragonOK","China","299112","Spearphishing Attachment","2015-01-01","",""
"DragonOK","China","299113","Spearphishing Attachment","2016-12-01","",""
"Deep Panda","China","299095","Unknown","2014-06-01","",""
"Deep Panda","China","299098","Unknown","2014-08-01","",""
"Deep Panda","China","299101","Unknown","2014-12-01","",""
"Deep Panda","China","299096","Unknown","2014-03-01","",""
"Deep Panda","China","299103","Drive-by Compromise","2015-05-01","",""
"Deep Panda","China","299103","Unknown","2015-05-01","",""
"Deep Panda","China","299100","Unknown","2014-11-01","",""
"Deep Panda","China","299102","Unknown","2015-03-01","",""
"Deep Panda","China","299099","Unknown","2014-07-01","",""
"Deep Panda","China","299097","Unknown","2014-04-01","",""
"Deep Panda","China","299094","Drive-by Compromise","2013-03-01","",""
"Deep Panda","China","299093","Drive-by Compromise","2012-12-01","",""
"BRONZE BUTLER","China","298799","Exploit Public-Facing Application","2019-06-01","",""
"BRONZE BUTLER","China","298798","Exploit Public-Facing Application","2016-06-01","",""
"BRONZE BUTLER","China","298797","Spearphishing Attachment","2015-07-01","",""
"BRONZE BUTLER","China","298797","Drive-by Compromise","2015-07-01","",""
"APT30","China","298769","Spearphishing Attachment","2012-04-01","",""
"APT30","China","298768","Spearphishing Attachment","2014-03-01","",""
"Turla","Russia","298883","Spearphishing Attachment","2008-10-01","",""
"Turla","Russia","298883","Drive-by Compromise","2008-10-01","",""
"Turla","Russia","298884","Spearphishing Attachment","2013-02-01","",""
"Turla","Russia","298885","Drive-by Compromise","2012-09-01","",""
"Turla","Russia","298888","Spearphishing Attachment","2017-03-01","",""
"Turla","Russia","298887","Spearphishing Attachment","2016-11-01","",""
"Turla","Russia","298886","Unknown","2016-08-01","",""
"TEMP.Veles","Russia","298871","Unknown","2017-06-01","",""
"TEMP.Veles","Russia","298872","Unknown","2018-10-01","",""
"TEMP.Veles","Russia","298870","Unknown","2014-09-01","",""
"APT28","Russia","298750","Spearphishing Attachment","2016-05-01","",""
"APT28","Russia","298751","Spearphishing Attachment","2016-10-01","",""
"APT28","Russia","298756","Spearphishing Link","2015-10-01","",""
"APT28","Russia","298746","Spearphishing Link","2015-07-01","",""
"APT28","Russia","298746","Drive-by Compromise","2015-07-01","",""
"APT28","Russia","298748","Spearphishing Attachment","2011-10-01","",""
"APT28","Russia","298749","Spearphishing Link","2015-04-01","",""
"APT28","Russia","298747","Spearphishing Attachment","2012-01-01","",""
"APT28","Russia","298755","Spearphishing Attachment","2017-10-01","",""
"APT28","Russia","298757","Spearphishing Attachment","2017-03-01","",""
"APT28","Russia","298754","Spearphishing Attachment","2019-02-01","",""
"APT28","Russia","298745","Spearphishing Attachment","2011-10-01","",""
"APT28","Russia","298753","Spearphishing Attachment","2018-03-01","",""
"APT28","Russia","298752","Spearphishing Attachment","2018-10-01","",""
"Sandworm Team","Russia","298849","Spearphishing Attachment","2019-03-01","",""
"Sandworm Team","Russia","298850","Spearphishing Attachment","2015-12-01","",""
"Sandworm Team","Russia","298847","Spearphishing Attachment","2014-08-01","",""
"Sandworm Team","Russia","298848","Spearphishing Attachment","2014-10-01","",""
"Sandworm Team","Russia","298851","Unknown","2014-09-01","",""
"Sandworm Team","Russia","298852","Spearphishing Attachment","2014-06-01","",""
"RTM","Russia","298845","Spearphishing Attachment","2016-04-01","",""
"RTM","Russia","298845","Spearphishing Link","2016-04-01","",""
"RTM","Russia","298844","Drive-by Compromise","2015-10-01","",""
"RTM","Russia","298844","Spearphishing Attachment","2015-10-01","",""
"RTM","Russia","298846","Unknown","2016-10-01","",""
"APT29","Russia","298761","Spearphishing Attachment","2015-04-01","",""
"APT29","Russia","298760","Spearphishing Attachment","2013-02-01","",""
"APT29","Russia","298758","Spearphishing Link","2018-11-01","",""
"APT29","Russia","298759","Spearphishing Link","2015-06-01","",""
"Gamaredon Group","Russia","299140","Spearphishing Attachment","2013-09-01","",""
"Gamaredon Group","Russia","299144","Spearphishing Attachment","2015-01-01","",""
"Gamaredon Group","Russia","299142","Spearphishing Attachment","2014-06-01","",""
"Gamaredon Group","Russia","299145","Spearphishing Attachment","2019-04-01","",""
"Gamaredon Group","Russia","299141","Spearphishing Attachment","2014-04-01","",""
"Gamaredon Group","Russia","299143","Spearphishing Attachment","2014-10-01","",""
"FIN7","Russia","299130","Spearphishing Attachment","2017-03-01","",""
"FIN7","Russia","299129","Spearphishing Attachment","2017-02-01","",""
"FIN7","Russia","299131","Spearphishing Attachment","2017-06-01","",""
"FIN7","Russia","299135","Spearphishing Attachment","2018-06-01","",""
"FIN7","Russia","299134","Spearphishing Attachment","2018-11-01","",""
"FIN7","Russia","299132","Spearphishing Attachment","2017-10-01","",""
"FIN7","Russia","299133","Spearphishing Attachment","2018-05-01","",""
"Dragonfly 2.0","Russia","299111","Drive-by Compromise","2017-05-01","",""
"Dragonfly 2.0","Russia","299111","Spearphishing Attachment","2017-05-01","",""
"Dragonfly","Russia","299104","Spearphishing Attachment","2013-02-01","",""
"Dragonfly","Russia","299105","Drive-by Compromise","2013-05-01","",""
"Dragonfly","Russia","299109","Drive-by Compromise","2017-05-01","",""
"Dragonfly","Russia","299108","Unknown","2017-04-01","",""
"Dragonfly","Russia","299107","Drive-by Compromise","2016-03-01","",""
"Dragonfly","Russia","299106","Drive-by Compromise","2014-02-01","",""
"Cobalt Group","Russia","298805","Spearphishing Attachment","2017-02-01","",""
"Cobalt Group","Russia","298804","Spearphishing Attachment","2017-05-01","",""
"Cobalt Group","Russia","298803","Spearphishing Attachment","2016-06-01","",""
"Cobalt Group","Russia","298809","Spearphishing Attachment","2018-06-01","",""
"Cobalt Group","Russia","298806","Spearphishing Attachment","2017-11-01","",""
"Cobalt Group","Russia","298807","Spearphishing Attachment","2017-09-01","",""
"Cobalt Group","Russia","298808","Spearphishing Attachment","2018-01-01","",""
"APT32","Vietnam","298773","Spearphishing Attachment","2018-06-01","",""
"APT32","Vietnam","298774","Drive-by Compromise","2018-09-01","",""
"APT32","Vietnam","298770","Drive-by Compromise","2017-03-01","",""
"APT32","Vietnam","298772","Spearphishing Attachment","2018-01-01","",""
"APT32","Vietnam","298775","Spearphishing Attachment","2019-02-01","",""
"APT32","Vietnam","298771","Spearphishing Link","2017-05-01","",""
"APT32","Vietnam","298771","Spearphishing Attachment","2017-05-01","",""
"Leafminer","Iran","299163","Drive-by Compromise","2017-01-01","",""
"OilRig","Iran","299190","Spearphishing Attachment","2017-08-01","",""
"OilRig","Iran","299193","Spearphishing Attachment","2017-11-01","",""
"OilRig","Iran","299191","Spearphishing Attachment","2017-07-01","",""
"OilRig","Iran","299187","Spearphishing Attachment","2018-05-01","",""
"OilRig","Iran","299192","Spearphishing Attachment","2016-05-01","",""
"OilRig","Iran","299188","Spearphishing Link","2018-01-01","",""
"OilRig","Iran","299189","Spearphishing Attachment","2018-08-01","",""
"Magic Hound","Iran","299176","Spearphishing Link","2016-12-01","",""
"Magic Hound","Iran","299175","Spearphishing Attachment","2016-06-01","",""
"Magic Hound","Iran","299174","Spearphishing Attachment","2015-02-01","",""
"Magic Hound","Iran","299173","Spearphishing via Service","2014-06-01","",""
"Magic Hound","Iran","299173","Spearphishing Link","2014-06-01","",""
"Magic Hound","Iran","299173","Spearphishing Attachment","2014-06-01","",""
"MuddyWater","Iran","299236","Spearphishing Attachment","2019-05-01","",""
"MuddyWater","Iran","299231","Spearphishing Attachment","2017-02-01","",""
"MuddyWater","Iran","299235","Spearphishing Attachment","2019-04-01","",""
"MuddyWater","Iran","299232","Spearphishing Attachment","2018-01-01","",""
"MuddyWater","Iran","299233","Spearphishing Attachment","2018-05-01","",""
"MuddyWater","Iran","299234","Spearphishing Attachment","2018-09-01","",""
"Group5","Iran","299150","Drive-by Compromise","2015-10-01","",""
"Group5","Iran","299150","Spearphishing Attachment","2015-10-01","",""
"DarkHydrus","Iran","299092","Spearphishing Attachment","2019-01-01","",""
"DarkHydrus","Iran","299090","Spearphishing Attachment","2018-06-01","",""
"DarkHydrus","Iran","299091","Spearphishing Attachment","2018-07-01","",""
"CopyKittens","Iran","298810","Drive-by Compromise","2017-03-01","",""
"CopyKittens","Iran","298811","Spearphishing Attachment","2017-04-01","",""
"Charming Kitten","Iran","299086","Drive-by Compromise","2018-06-01","",""
"Charming Kitten","Iran","299089","Spearphishing Link","2019-01-01","",""
"Charming Kitten","Iran","299084","Drive-by Compromise","2016-02-01","",""
"Charming Kitten","Iran","299087","Spearphishing Link","2017-01-01","",""
"Charming Kitten","Iran","299083","Spearphishing Link","2015-05-01","",""
"Charming Kitten","Iran","299083","Spearphishing Attachment","2015-05-01","",""
"Charming Kitten","Iran","299082","Spearphishing via Service","2011-01-01","",""
"Charming Kitten","Iran","299088","Spearphishing Link","2018-10-01","",""
"Charming Kitten","Iran","299085","Unknown","2017-08-01","",""
"APT39","Iran","298792","Spearphishing Attachment","2018-09-01","",""
"APT33","Iran","298778","Spearphishing Attachment","2017-10-01","",""
"APT33","Iran","298779","Spearphishing Attachment","2017-11-01","",""
"APT33","Iran","298777","Valid Accounts","2018-07-01","",""
"APT33","Iran","298776","Spearphishing Attachment","2019-02-01","",""
"Stolen Pencil","North Korea","298865","Spearphishing Link","2018-05-01","",""
"Stolen Pencil","North Korea","298866","Spearphishing Attachment","2018-11-01","",""
"Kimsuky","North Korea","299159","Spearphishing Attachment","2019-01-01","",""
"Kimsuky","North Korea","299157","Spearphishing Attachment","2013-01-01","",""
"Kimsuky","North Korea","299160","Spearphishing Attachment","2020-02-01","",""
"Kimsuky","North Korea","299158","Spearphishing Attachment","2014-12-01","",""
"Kimsuky","North Korea","299162","Spearphishing Attachment","2018-11-01","",""
"Kimsuky","North Korea","299161","Drive-by Compromise","2019-03-01","",""
"Lazarus Group","North Korea","298831","Spearphishing Attachment","2018-02-01","",""
"Lazarus Group","North Korea","298825","Spearphishing Attachment","2015-10-01","",""
"Lazarus Group","North Korea","298836","Exploit Public-Facing Application","2019-05-01","",""
"Lazarus Group","North Korea","298835","Spearphishing Attachment","2019-03-01","",""
"Lazarus Group","North Korea","298827","Drive-by Compromise","2017-01-01","",""
"Lazarus Group","North Korea","298829","Exploit Public-Facing Application","2017-05-01","",""
"Lazarus Group","North Korea","298826","Unknown","2016-10-01","",""
"Lazarus Group","North Korea","298834","Spearphishing Link","2018-10-01","",""
"Lazarus Group","North Korea","298832","Spearphishing Attachment","2018-04-01","",""
"Lazarus Group","North Korea","298822","Spearphishing Attachment","2013-03-01","",""
"Lazarus Group","North Korea","298823","Unknown","2014-11-01","",""
"Lazarus Group","North Korea","298824","Spearphishing Attachment","2015-06-01","",""
"Lazarus Group","North Korea","298828","Spearphishing Attachment","2017-03-01","",""
"Lazarus Group","North Korea","298833","Spearphishing Link","2018-08-01","",""
"Lazarus Group","North Korea","298830","Spearphishing Attachment","2017-07-01","",""
"APT38","North Korea","298912","Spearphishing Attachment","2018-08-01","",""
"APT38","North Korea","298904","Unknown","2016-05-01","",""
"APT38","North Korea","298911","Unknown","2018-05-01","",""
"APT38","North Korea","298908","Drive-by Compromise","2016-10-01","",""
"APT38","North Korea","298906","Unknown","2016-01-01","",""
"APT38","North Korea","298905","Unknown","2015-01-01","",""
"APT38","North Korea","298907","Unknown","2016-02-01","",""
"APT38","North Korea","298909","Unknown","2017-10-01","",""
"APT38","North Korea","298903","Unknown","2015-10-01","",""
"APT38","North Korea","298913","Spearphishing Attachment","2018-12-01","",""
"APT38","North Korea","298902","Unknown","2015-07-01","",""
"APT38","North Korea","298910","Unknown","2018-04-01","",""
"APT37","North Korea","298789","Spearphishing Link","2016-04-01","",""
"APT37","North Korea","298787","Spearphishing Attachment","2016-10-01","",""
"APT37","North Korea","298788","Spearphishing Attachment","2016-06-01","",""
"APT37","North Korea","298786","Spearphishing Attachment","2016-11-01","",""
"APT37","North Korea","298784","Spearphishing Attachment","2017-05-01","",""
"APT37","North Korea","298783","Spearphishing Attachment","2017-04-01","",""
"APT37","North Korea","298780","Spearphishing Link","2016-03-01","",""
"APT37","North Korea","298781","Unknown","2016-05-01","",""
"APT37","North Korea","298781","Drive-by Compromise","2016-05-01","",""
"APT37","North Korea","298785","Spearphishing Attachment","2017-10-01","",""
"APT37","North Korea","298790","Spearphishing Attachment","2015-07-01","",""
"APT37","North Korea","298782","Spearphishing Attachment","2016-08-01","",""
"Honeybee","Unknown","299151","Spearphishing Attachment","2017-08-01","",""
"Silence","Unknown","299211","Spearphishing Attachment","2019-06-01","",""
"Silence","Unknown","299209","Spearphishing Attachment","2019-02-01","",""
"Silence","Unknown","299212","Spearphishing Attachment","2019-07-01","",""
"Silence","Unknown","299203","Spearphishing Attachment","2016-06-01","",""
"Silence","Unknown","299206","Unknown","2018-04-01","",""
"Silence","Unknown","299205","Unknown","2018-02-01","",""
"Silence","Unknown","299208","Spearphishing Attachment","2018-08-01","",""
"Silence","Unknown","299210","Spearphishing Attachment","2019-05-01","",""
"Silence","Unknown","299207","Spearphishing Attachment","2018-05-01","",""
"Silence","Unknown","299204","Spearphishing Attachment","2017-08-01","",""
"Tropic Trooper","Unknown","298881","Spearphishing Attachment","2016-08-01","",""
"Tropic Trooper","Unknown","298882","Spearphishing Attachment","2018-01-01","",""
"Tropic Trooper","Unknown","298880","Spearphishing Attachment","2012-02-01","",""
"Dust Storm","Unknown","299117","Spearphishing Attachment","2011-10-01","",""
"Dust Storm","Unknown","299120","Drive-by Compromise","2014-02-01","",""
"Dust Storm","Unknown","299119","Unknown","2013-03-01","",""
"Dust Storm","Unknown","299118","Drive-by Compromise","2012-06-01","",""
"Dust Storm","Unknown","299118","Spearphishing Attachment","2012-06-01","",""
"Dust Storm","Unknown","299115","Spearphishing Link","2011-06-01","",""
"Dust Storm","Unknown","299116","Spearphishing Attachment","2011-04-01","",""
"Sowbug","Unknown","298857","Unknown","2016-09-01","",""
"Sowbug","Unknown","298856","Unknown","2015-03-01","",""
"The White Company","Unknown","299218","Spearphishing Attachment","2017-08-01","",""
"Poseidon Group","Unknown","298837","Spearphishing Attachment","2015-09-01","",""
"Strider","Unknown","298867","Unknown","2015-09-01","",""
"WIRTE","Unknown","299219","Spearphishing Attachment","2018-08-01","",""
"NEODYMIUM","Unknown","299185","Spearphishing Attachment","2017-07-01","",""
"NEODYMIUM","Unknown","299184","Spearphishing Attachment","2016-05-01","",""
"GCMAN","Unknown","299146","Spearphishing Attachment","2014-01-01","",""
"GCMAN","Unknown","299146","Exploit Public-Facing Application","2014-01-01","",""
"Gallmaker","Unknown","299139","Spearphishing Attachment","2017-12-01","",""
"FIN8","Unknown","299138","Unknown","2019-03-01","",""
"FIN8","Unknown","299137","Spearphishing Attachment","2017-02-01","",""
"FIN8","Unknown","299136","Spearphishing Attachment","2016-03-01","",""
"FIN6","Unknown","299128","Unknown","2019-01-01","",""
"FIN5","Unknown","299127","Valid Accounts","2008-03-01","",""
"FIN10","Unknown","299125","Spearphishing via Service","2013-01-01","",""
"FIN10","Unknown","299125","Spearphishing Link","2013-01-01","",""
"BlackOasis","Unknown","298793","Spearphishing Attachment","2016-05-01","",""
"BlackOasis","Unknown","298794","Spearphishing Attachment","2015-06-01","",""
"BlackOasis","Unknown","298796","Spearphishing Attachment","2017-09-01","",""
"BlackOasis","Unknown","298795","Spearphishing Attachment","2017-10-01","",""
"Carbanak","Ukraine","298802","Spearphishing Attachment","2018-03-01","",""
"Carbanak","Ukraine","298800","Spearphishing Attachment","2015-08-01","",""
"Carbanak","Ukraine","298801","Spearphishing Attachment","2013-10-01","",""
"Dark Caracal","Lebanon","298812","Spearphishing Attachment","2018-01-01","",""
"Darkhotel","South Korea","298821","External Remote Services","2020-03-01","",""
"Darkhotel","South Korea","298820","Drive-by Compromise","2016-04-01","",""
"Darkhotel","South Korea","298820","Spearphishing Attachment","2016-04-01","",""
"Darkhotel","South Korea","298815","Drive-by Compromise","2017-03-01","",""
"Darkhotel","South Korea","298819","Spearphishing Attachment","2015-11-01","",""
"Darkhotel","South Korea","298818","Drive-by Compromise","2020-01-01","",""
"Darkhotel","South Korea","298814","Drive-by Compromise","2015-07-01","",""
"Darkhotel","South Korea","298816","Drive-by Compromise","2018-04-01","",""
"Darkhotel","South Korea","298816","Spearphishing Attachment","2018-04-01","",""
"Darkhotel","South Korea","298813","Spearphishing Attachment","2014-02-01","",""
"Darkhotel","South Korea","298817","Spearphishing Attachment","2018-08-01","",""
"Equation","USA","299124","Replication Through Removable Media","2008-12-01","",""
"Gorgon Group","Pakistan","299149","Spearphishing Attachment","2019-03-01","",""
"Gorgon Group","Pakistan","299148","Spearphishing Attachment","2018-02-01","",""
"Gorgon Group","Pakistan","299147","Spearphishing Attachment","2017-07-01","",""
"Molerats","Gaza","299221","Spearphishing Link","2013-06-01","",""
"Molerats","Gaza","299221","Spearphishing Attachment","2013-06-01","",""
"Molerats","Gaza","299225","Spearphishing Link","2016-05-01","",""
"Molerats","Gaza","299225","Spearphishing Attachment","2016-05-01","",""
"Molerats","Gaza","299223","Spearphishing Link","2014-04-01","",""
"Molerats","Gaza","299224","Spearphishing Link","2015-09-01","",""
"Molerats","Gaza","299224","Spearphishing Attachment","2015-09-01","",""
"Molerats","Gaza","299229","Spearphishing Attachment","2019-02-01","",""
"Molerats","Gaza","299230","Spearphishing Attachment","2019-11-01","",""
"Molerats","Gaza","299226","Spearphishing Attachment","2017-03-01","",""
"Molerats","Gaza","299228","Spearphishing Attachment","2017-09-01","",""
"Molerats","Gaza","299222","Spearphishing Attachment","2014-03-01","",""
"Molerats","Gaza","299222","Spearphishing via Service","2014-03-01","",""
"Molerats","Gaza","299220","Spearphishing Attachment","2012-11-01","",""
"Molerats","Gaza","299227","Spearphishing Attachment","2017-06-01","",""
"Patchwork","India","299197","Spearphishing Link","2017-07-01","",""
"Patchwork","India","299197","Drive-by Compromise","2017-07-01","",""
"Patchwork","India","299196","Spearphishing Link","2018-01-01","",""
"Patchwork","India","299195","Spearphishing Link","2018-03-01","",""
"Patchwork","India","299194","Spearphishing Link","2015-12-01","",""
"Patchwork","India","299194","Drive-by Compromise","2015-12-01","",""
"Patchwork","India","299194","Spearphishing Attachment","2015-12-01","",""
"Patchwork","India","299194","Spearphishing via Service","2015-12-01","",""
"PROMETHIUM","Turkey","298838","Spearphishing via Service","2016-05-01","",""
"SilverTerrier","Nigeria","298855","Spearphishing Attachment","2014-07-01","",""
"Stealth Falcon","UAE","298858","Spearphishing Link","2015-11-01","",""
"Stealth Falcon","UAE","298859","Drive-by Compromise","2016-03-01","",""
"Stealth Falcon","UAE","298862","Unknown","2018-08-01","",""
"Stealth Falcon","UAE","298863","Unknown","2019-02-01","",""
"Stealth Falcon","UAE","298861","Unknown","2018-10-01","",""
"Stealth Falcon","UAE","298860","Spearphishing via Service","2016-08-01","",""
"Stealth Falcon","UAE","298864","Spearphishing Attachment","2018-06-01","",""
"FIN4","Romania","299126","Spearphishing Link","2013-06-01","",""
"FIN4","Romania","299126","Spearphishing Attachment","2013-06-01","",""
