"APT","country","campaign","vulnerability","exploited_time","reserved_time","published_time"
"DragonOK","China","299113","CVE-2015-1641","2016-12-01","2015-02-01","2015-04-01"
"Deep Panda","China","299094","CVE-2012-4792","2013-03-01","2012-09-01","2012-12-01"
"Deep Panda","China","299093","CVE-2012-4969","2012-12-01","2012-09-01","2012-09-01"
"Deep Panda","China","299093","CVE-2012-4792","2012-12-01","2012-09-01","2012-12-01"
"BRONZE BUTLER","China","298798","CVE-2016-7836","2016-06-01","2016-09-01","2017-06-01"
"BRONZE BUTLER","China","298797","CVE-2014-4114","2015-07-01","2014-06-01","2014-10-01"
"APT30","China","298768","CVE-2012-0158","2014-03-01","2011-12-01","2012-04-01"
"Turla","Russia","298883","CVE-2008-4250","2008-10-01","2008-09-01","2008-10-01"
"Turla","Russia","298883","CVE-2008-3431","2008-10-01","2008-07-01","2008-08-01"
"Turla","Russia","298884","CVE-2013-5065","2013-02-01","2013-08-01","2013-11-01"
"Turla","Russia","298884","CVE-2013-3346","2013-02-01","2013-05-01","2013-08-01"
"Turla","Russia","298884","CVE-2013-2729","2013-02-01","2013-03-01","2013-05-01"
"Turla","Russia","298884","CVE-2009-3129","2013-02-01","2009-09-01","2009-11-01"
"Turla","Russia","298884","CVE-2010-0232","2013-02-01","2010-01-01","2010-01-01"
"Turla","Russia","298884","CVE-2009-1125","2013-02-01","2009-03-01","2009-06-01"
"Turla","Russia","298885","CVE-2012-1723","2012-09-01","2012-03-01","2012-06-01"
"Turla","Russia","298885","CVE-2009-1125","2012-09-01","2009-03-01","2009-06-01"
"Turla","Russia","298885","CVE-2012-4681","2012-09-01","2012-08-01","2012-08-01"
"Turla","Russia","298885","CVE-2010-0232","2012-09-01","2010-01-01","2010-01-01"
"Turla","Russia","298888","CVE-2017-0001","2017-03-01","2016-09-01","2017-03-01"
"Turla","Russia","298888","CVE-2017-0261","2017-03-01","2016-09-01","2017-05-01"
"APT28","Russia","298750","CVE-2015-1641","2016-05-01","2015-02-01","2015-04-01"
"APT28","Russia","298751","CVE-2016-7255","2016-10-01","2016-09-01","2016-11-01"
"APT28","Russia","298751","CVE-2016-7855","2016-10-01","2016-09-01","2016-11-01"
