product,version,update,release_date,advisory
office,2016-*,4475588,2019-11,
office,2016-*,4475588,2019-11,
office,2016-*,4475585,2019-10,
office,2016-*,4475585,2019-10,
office,2016-*,4475586,2020-04,
office,2016-*,4475586,2020-04,
office,2016-*,4475584,2020-10,
office,2016-*,4475584,2020-10,
office,2016-*,4475582,2019-10,
office,2016-*,4475582,2019-10,
office,2016-*,4475580,2019-09,
office,2016-*,4475580,2019-09,
office,2016-*,4475550,2019-08,
office,2016-*,4475550,2019-08,
office,2016-*,4475545,2019-07,
office,2016-*,4475545,2019-07,
office,2016-*,4475541,2019-08,
office,2016-*,4475541,2019-08,
office,2016-*,4475539,2019-11,
office,2016-*,4475539,2019-11,
office,2016-*,4475514,2019-07,
office,2016-*,4475514,2019-07,
office,2016-*,4464588,2019-08,
office,2016-*,4464588,2019-08,
office,2016-*,4464586,2020-01,
office,2016-*,4464586,2020-01,
office,2016-*,4464578,2019-06,
office,2016-*,4464578,2019-06,
office,2016-*,4464575,2020-01,
office,2016-*,4464575,2020-01,
office,2016-*,4464538,2019-05,
office,2016-*,4464538,2019-05,
office,2016-*,4464535,2019-08,
office,2016-*,4464535,2019-08,
office,2016-*,4464534,2019-07,
office,2016-*,4464534,2019-07,
office,2016-*,4462239,2019-04,
office,2016-*,4462239,2019-04,
office,2016-*,4462237,2019-07,
office,2016-*,4462237,2019-07,
office,2016-*,4462192,2019-03,
office,2016-*,4462192,2019-03,
office,2016-*,4462119,2019-05,
office,2016-*,4462119,2019-05,
office,2016-*,4462116,2019-04,
office,2016-*,4462116,2019-04,
office,2016-*,4462113,2019-05,
office,2016-*,4462113,2019-05,
office,2016-*,4461532,2018-12,
office,2016-*,4461532,2018-12,
office,2016-*,4461473,2018-11,
office,2016-*,4461473,2018-11,
office,2016-*,4461441,2019-05,
office,2016-*,4461441,2019-05,
office,2016-*,4461435,2019-01,
office,2016-*,4461435,2019-01,
office,2016-*,4092450,2019-08,
office,2016-*,4092450,2019-08,
office,2016-*,4032254,2019-08,
office,2016-*,4032254,2019-08,
office,2016-*,4032236,2019-07,
office,2016-*,4032236,2019-07,
office,2016-*,4032231,2019-03,
office,2016-*,4032231,2019-03,
office,2016-*,4032230,2019-01,
office,2016-*,4032230,2019-01,
office,2016-*,4022221,2018-07,
office,2016-*,4022221,2018-07,
office,2016-*,4022219,2018-08,
office,2016-*,4022219,2018-08,
office,2016-*,4022193,2018-06,
office,2016-*,4022193,2018-06,
office,2016-*,4022176,2018-07,
office,2016-*,4022176,2018-07,
office,2016-*,4022172,2018-07,
office,2016-*,4022172,2018-07,
office,2016-*,4022162,2019-01,
office,2016-*,4022162,2019-01,
office,2016-*,4022161,2019-02,
office,2016-*,4022161,2019-02,
office,2016-*,4022133,2018-05,
office,2016-*,4022133,2018-05,
office,2016-*,4018338,2018-07,
office,2016-*,4018338,2018-07,
office,2016-*,4018319,2018-04,
office,2016-*,4018319,2018-04,
office,2016-*,4011669,2018-10,
office,2016-*,4011669,2018-10,
office,2016-*,4011666,2019-04,
office,2016-*,4011666,2019-04,
office,2016-*,4011634,2018-05,
office,2016-*,4011634,2018-05,
office,2016-*,4011629,2019-09,
office,2016-*,4011629,2019-09,
office,2016-*,4011628,2018-04,
office,2016-*,4011628,2018-04,
office,2016-*,4011624,2018-03,
office,2016-*,4011624,2018-03,
office,2016-*,4011622,2018-01,
office,2016-*,4011622,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011574,2018-01,
office,2016-*,4011569,2018-01,
office,2016-*,4011569,2018-01,
office,2016-*,4011262,2017-11,
office,2016-*,4011262,2017-11,
office,2016-*,4011259,2017-11,
office,2016-*,4011259,2017-11,
office,2016-*,4011237,2018-05,
office,2016-*,4011237,2018-05,
office,2016-*,4011239,2018-05,
office,2016-*,4011239,2018-05,
office,2016-*,4011225,2017-12,
office,2016-*,4011225,2017-12,
office,2016-*,4011218,2017-12,
office,2016-*,4011218,2017-12,
office,2016-*,4011211,2017-12,
office,2016-*,4011211,2017-12,
office,2016-*,4011185,2017-10,
office,2016-*,4011185,2017-10,
office,2016-*,4011139,2017-10,
office,2016-*,4011139,2017-10,
office,2016-*,4011135,2017-10,
office,2016-*,4011135,2017-10,
office,2016-*,4011126,2017-09,
office,2016-*,4011126,2017-09,
office,2016-*,4011100,2018-06,
office,2016-*,4011100,2018-06,
office,2016-*,4011097,2020-04,
office,2016-*,4011097,2020-04,
office,2016-*,4011095,2017-12,
office,2016-*,4011095,2017-12,
office,2016-*,4011038,2017-09,
office,2016-*,4011038,2017-09,
office,2016-*,4011035,2018-07,
office,2016-*,4011035,2018-07,
office,2016-*,4011036,2017-10,
office,2016-*,4011036,2017-10,
office,2016-*,4011031,2017-12,
office,2016-*,4011031,2017-12,
office,2016-*,4011026,2018-06,
office,2016-*,4011023,2018-03,
office,2016-*,4011022,2018-01,
office,2016-*,4011020,2017-12,
office,2016-*,3213659,2017-10,
office,2016-*,3213658,2017-09,
office,2016-*,3213657,2017-07,
office,2016-*,3213650,2017-08,
office,2016-*,3213650,2017-08,
office,2016-*,3213551,2017-09,
office,2016-*,3213551,2017-09,
office,2016-*,3213545,2017-07,
office,2016-*,3213545,2017-07,
office,2016-*,3203482,2017-09,
office,2016-*,3203482,2017-09,
office,2016-*,3203480,2019-01,
office,2016-*,3203480,2019-01,
office,2016-*,3203479,2018-05,
office,2016-*,3203479,2018-05,
office,2016-*,3203474,2017-09,
office,2016-*,3203474,2017-09,
office,2016-*,3203471,2017-07,
office,2016-*,3203471,2017-07,
office,2016-*,3203383,2017-06,
office,2016-*,3203383,2017-06,
office,2016-*,3191929,2017-06,
office,2016-*,3191929,2017-06,
office,2016-*,3191928,2017-07,
office,2016-*,3191928,2017-07,
office,2016-*,3191915,2017-05,
office,2016-*,3191882,2017-06,
office,2016-*,3191882,2017-06,
office,2016-*,3178707,2017-08,
office,2016-*,3178707,2017-08,
office,2016-*,3178696,2017-08,
office,2016-*,3178696,2017-08,
office,2016-*,3178692,2017-05,
office,2016-*,3178692,2017-05,
office,2016-*,3178667,2017-06,
office,2016-*,3178667,2017-06,
office,2016-*,3178666,2017-04,
office,2016-*,3178666,2017-04,
office,2016-*,3178662,2018-01,
office,2016-*,3178662,2018-01,
office,2016-*,3141457,2018-01,
office,2016-*,3141457,2017-06,
office,2016-*,3141456,2019-08,
office,2016-*,3141456,2019-08,
